<...>,129127,188016.290943,1
<...>,129127,188016.290955,3
<...>,129127,188016.290961,257

node,88730,188016.437001,0
node,88730,188016.437057,0
node,88730,188016.437062,232
node,88730,188016.437179,0
node,88730,188016.437565,202
node,88730,188016.437622,232
node,88730,188016.437625,0
node,88730,188016.437703,0
node,88730,188016.437708,232
node,88730,188016.437710,0
node,88730,188016.437752,202
node,88730,188016.437779,202
node,88730,188016.437804,202
node,88730,188016.437827,202
node,88730,188016.437851,202
node,88730,188016.437873,202
node,88730,188016.437895,202
node,88730,188016.437911,232
node,88730,188016.437914,0
node,88730,188016.438229,202
node,88730,188016.438259,0
node,88730,188016.438335,0
node,88730,188016.438372,0
node,88730,188016.438376,232
node,88730,188016.438379,0
node,88730,188016.438414,202
node,88730,188016.438439,202
node,88730,188016.438461,202
node,88730,188016.438483,202
node,88730,188016.438506,202
node,88730,188016.438528,202
node,88730,188016.438551,202
node,88730,188016.438565,232
node,88730,188016.438568,0
node,88730,188016.438882,202
node,88730,188016.438914,0
node,88730,188016.438989,0
node,88730,188016.439012,232
node,88730,188016.439015,0
node,88730,188016.439050,202
node,88730,188016.439075,202
node,88730,188016.439097,202
node,88730,188016.439119,202
node,88730,188016.439141,202
node,88730,188016.439164,202
node,88730,188016.439185,202
node,88730,188016.439200,232
node,88730,188016.439203,0
node,88730,188016.439542,202
node,88730,188016.439576,0
node,88730,188016.439621,202
node,88730,188016.439683,0
node,88730,188016.439688,232
node,88730,188016.439691,0
node,88730,188016.439726,202
node,88730,188016.439750,202
node,88730,188016.439772,202
node,88730,188016.439794,202
node,88730,188016.439817,202
node,88730,188016.439838,202

node,88744,188016.712769,202
node,88743,188016.712812,202
node,88743,188016.712814,332
node,88743,188016.712819,202
node,88744,188016.713162,202
node,88744,188016.713164,257
node,88744,188016.713174,5
node,88744,188016.713178,217
node,88744,188016.713192,217
node,88744,188016.713195,3
node,88744,188016.713202,1
node,88744,188016.713205,202
node,88743,188016.713331,202
